Ende Ablesezeitraum;Messintervall;Abrechnungsmaßeinheit;Verbrauch
2019-01-05T16:15+01:00;QH;KWH;0,02135
2019-01-05T16:30+01:00;QH;KWH;0,06458
2019-01-05T16:45+01:00;QH;KWH;0,03782
2019-01-05T17:00+01:00;QH;KWH;0,07284
2019-01-05T17:15+01:00;QH;KWH;0,06618
2019-01-05T17:30+01:00;QH;KWH;0,02667
2019-01-05T17:45+01:00;QH;KWH;0,08839
2019-01-05T18:00+01:00;QH;KWH;0,09581
2019-01-05T18:15+01:00;QH;KWH;0,04237
2019-01-05T18:30+01:00;QH;KWH;0,21351
2019-01-05T18:45+01:00;QH;KWH;0,05596
2019-01-05T19:00+01:00;QH;KWH;0,10738
2019-01-05T19:15+01:00;QH;KWH;0,04802
2019-01-05T19:30+01:00;QH;KWH;0,04691
2019-01-05T19:45+01:00;QH;KWH;0,07181
2019-01-05T20:00+01:00;QH;KWH;0,05558
2019-01-05T20:15+01:00;QH;KWH;0,06609
2019-01-05T20:30+01:00;QH;KWH;0,04989
2019-01-05T20:45+01:00;QH;KWH;0,04266
2019-01-05T21:00+01:00;QH;KWH;0,02868
2019-01-05T21:15+01:00;QH;KWH;0,07485
2019-01-05T21:30+01:00;QH;KWH;0,04462
2019-01-05T21:45+01:00;QH;KWH;0,04904
2019-01-05T22:00+01:00;QH;KWH;0,03514
2019-01-05T22:15+01:00;QH;KWH;0,03989
2019-01-05T22:30+01:00;QH;KWH;0,05069
2019-01-05T22:45+01:00;QH;KWH;0,02571
2019-01-05T23:00+01:00;QH;KWH;0,05091
2019-01-05T23:15+01:00;QH;KWH;0,03919
2019-01-05T23:30+01:00;QH;KWH;0,04113
2019-01-05T23:45+01:00;QH;KWH;0,04529
2019-01-06T00:00+01:00;QH;KWH;0,01719
2019-01-06T00:15+01:00;QH;KWH;0,04416
2019-01-06T00:30+01:00;QH;KWH;0,04973
2019-01-06T00:45+01:00;QH;KWH;0,02397
2019-01-06T01:00+01:00;QH;KWH;0,03631
2019-01-06T01:15+01:00;QH;KWH;0,03645
2019-01-06T01:30+01:00;QH;KWH;0,03490
2019-01-06T01:45+01:00;QH;KWH;0,01850
